Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
94,1639,SAE Loreto,4447,BIWO Renovables S.A.,SAC,Desarrollo de estudios y/o antecedentes,29 de septiembre de 2023 20:23,20.0,Híbrido,x,-,-,20.0,,,,19.0,313207.94,6206815.04,31 de diciembre de 2026 00:00,S/E Loreto 66 kV,66,Barra N°1,B1,Libertador General Bernardo OHiggins,Coltauco,Zonal,-34.26304591001836,-71.02882010136267,BESS
102,1629,BESS Halcón de Almagro Etapa 1,4438,oEnergy Development SpA,SUCTD,Evaluación Admisibilidad,27 de septiembre de 2023 18:34,20.0,Híbrido,x,-,-,20.0,,,,19.0,397642.62,7080539.06,30 de noviembre de 2025 00:00,Línea 110 kV Diego de Almagro - Río Salado,110,En Derivación,Tap-Off,Atacama,Diego de Almagro,Dedicada,-26.39161111579021,-70.02617235904293,BESS
103,1628,BESS Arica II,4437,Engie Energía Chile S.A. ,SAC,Evaluación de antecedentes y/o requerimientos,27 de septiembre de 2023 17:58,30.0,Híbrido,x,-,-,30.0,,,5.0,19.0,363886.43,7955529.1,1 de octubre de 2025 00:00,S/E Arica 66 kV,66,Barra Principal,B6,Arica y Parinacota,Arica,Zonal,-18.486264104027697,-70.28924923026281,BESS
104,1627,Arena BESS,4436,CI NMF I Arena ProjectCo SpA,SUCTD,Audiencia y antecedentes adicionales,27 de septiembre de 2023 17:30,270.0,Híbrido,x,-,-,270.0,,,,19.0,408428.44,7232316.08,31 de julio de 2026 00:00,LT 220 kV Parinas - Lalackama,220,,,Antofagasta,Taltal,Dedicada,-25.021940016208507,-69.90759703206241,BESS
105,1625,BESS Tamarugal,4434,Solarpack Chile Limitada,SUCTD,Audiencia y antecedentes adicionales,25 de septiembre de 2023 17:33,187.0,Híbrido,x,-,-,187.0,,,,19.0,452821.0,7698473.0,29 de diciembre de 2028 00:00,S/E Granja Solar 220 kV,220,Barra N°1,H2,Tarapacá,Pozo Almonte,Dedicada,-20.81307779884477,-69.45338932514035,BESS
106,1624,BESS Halcón de Almagro Etapa 2,4416,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,21 de septiembre de 2023 17:19,60.0,Híbrido,x,-,-,60.0,,,,,,,29 de diciembre de 2025 00:00,Diego de Almagro - Llanta 2x110 kV,110,En Derivación,Tap Off,Atacama,Diego de Almagro,Dedicada,,,BESS
107,1623,BESS Ríos Nueva Pozo Almonte,4415,Ríos Nueva Pozo Almonte SpA,SAC,Detenida a la espera de definición de ingeniería de la obra,20 de septiembre de 2023 18:13,125.0,Híbrido,x,-,-,125.0,,,,19.0,421957.04,7753540.06,31 de diciembre de 2027 00:00,S/E Nueva Pozo Almonte 220 kV,220,Interruptor y medio,J24,Tarapacá,Pozo Almonte,Nacional,-20.31448807426187,-69.74755096350772,BESS
108,1622,BESS Halcón de Almagro Etapa 3,4414,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,20 de septiembre de 2023 17:24,44.0,Híbrido,x,-,-,44.0,,,,19.0,397724.0,7080657.0,30 de noviembre de 2026 00:00,Diego de Almagro - Minera Franke 110 kV,110,en derivación,Tap Off,Atacama,Diego de Almagro,Dedicada,-26.390552210426243,-70.0253471925324,BESS
109,1615,Sistema de Almacenamiento Central Desierto de Atacama,4390,Copiapó Solar S.A.,FEHACIENTES,Proyecto calificado como fehaciente,13 de septiembre de 2023 03:39,110.0,Híbrido,x,-,-,110.0,,,2.0,19.0,383000.0,6917000.0,30 de noviembre de 2024 00:00,S/E Desierto de Atacama 33 kV,33,Media Tensión,Por Definir,Atacama,Tierra Amarilla,Dedicada,-27.86666912965635,-70.1884533347841,BESS
113,1607,Sistema de Almacenamiento del PF Sol de Lila,4388,Enel Green Power del Sur ,FEHACIENTES,Revisión de antecedentes,8 de septiembre de 2023 20:03,150.0,Híbrido,x,-,-,150.0,,,2.0,19.0,542487.04,7342841.61,1 de octubre de 2025 00:00,S/E Sol de Lila 33 kV,33,Celdas 33 kV,Celdas 33 kV,Antofagasta,San Pedro de Atacama,Dedicada,-24.025911600762793,-68.5821959424982,BESS
114,1600,BESS Bio Bio,4384,Grenergy Renovables Pacific Limitada,SAC,Evaluación de antecedentes y/o requerimientos,4 de septiembre de 2023 17:10,90.0,Híbrido,x,-,-,90.0,,,,18.0,665758.49,5905230.91,31 de diciembre de 2027 00:00,S/E Lagunillas 220 kV,220,Media Diagonal J14-J15,J14-J15,Biobío,Coronel,Nacional,-36.98445565049976,-73.13751462167207,BESS
115,1598,BESS Varón,4381,Grenergy Renovables Pacific Limitada,SAC,Detenida a la espera de definición de ingeniería de la obra,4 de septiembre de 2023 15:55,90.0,Híbrido,x,-,-,90.0,,,,19.0,254944.0,6335932.0,31 de diciembre de 2027 00:00,S/E La Pólvora 220 kV,220,Media diagonal J14-J15,J14-15,Valparaiso,Valparaíso,Nacional,-33.08762852868369,-71.62550592835835,BESS
117,1596,BESS Halcón  20,4396,oEnergy Development SpA,SAC,Detenida a la espera de definición de ingeniería de la obra,4 de septiembre de 2023 15:37,300.0,Híbrido,x,-,-,300.0,,,,,,,30 de noviembre de 2026 00:00,S/E Nueva Pozo Almonte 220 kV,220,Barra 2,J24,Tarapacá,Pozo Almonte,Nacional,,,BESS
124,1582,Sistema de Almacenamiento Quillagua,4364,Parque Eólico Quillagua SpA,FEHACIENTES,Proyecto calificado como fehaciente,30 de agosto de 2023 18:37,95.0,Híbrido,x,-,-,95.0,,,5.0,19.0,449641.0,7605084.0,30 de abril de 2025 00:00,S/E PE Quillagua 23 kV,23,Celdas 23 kV,Celdas de media tensión,Antofagasta,Maria Elena,Dedicada,-21.656770571483083,-69.48670947578876,BESS
126,1575,BESS CHACA,4359,Colbún S.A.,SAC,Desarrollo de estudios y/o antecedentes,24 de agosto de 2023 19:11,240.0,Híbrido,x,-,-,240.0,,,,,,,27 de febrero de 2026 00:00,S/E Roncacho 220 kV,220,Barra 2,J5 y J6,Arica y Parinacota,Camarones,Nacional,,,BESS
128,1566,Sistema de almacenamiento del PF Valle del Sol,4324,Enel Green Power del Sur ,FEHACIENTES,Proyecto autorizado para declararse en construcción,9 de agosto de 2023 12:14,150.0,Híbrido,x,-,-,150.0,,,,19.0,440392.61,7530131.18,1 de octubre de 2025 00:00,S/E Valle del Sol 33 kV,33,Celdas 33kV,Celdas 33 kV,Antofagasta,Maria Elena,Dedicada,-22.33361669757502,-69.57883096234603,BESS
