Dedicated tx lines,n_std,typical use,Design Capacity [MVA],Available Technical Capacity (+) 2023 [MVA],Av. Tec. Capacity (+) 2024 [MVA],Av. Tec. Capacity (+) 2025 [MVA],Av. Tec. Capacity (+) 2026 [MVA],Av. Tec. Capacity (+) 2027 [MVA],Av. Tec. Capacity (+) 2028 [MVA],Av. Tec. Capacity (+) 2029 [MVA],Av. Tec. Capacity (+) 2030 [MVA],Variation 2023->2030 [%],Available Technical Capacity (-) 2023 [MVA],Av. Tec. Capacity (-) 2024 [MVA],Av. Tec. Capacity (-) 2025 [MVA],Av. Tec. Capacity (-) 2026 [MVA],Av. Tec. Capacity (-) 2027 [MVA],Av. Tec. Capacity (-) 2028 [MVA],Av. Tec. Capacity (-) 2029 [MVA],Av. Tec. Capacity (-) 2030 [MVA],Variation 2023->2030 [%](-),Region
Línea 1x66 kV Central Diesel Arica - Tap Quiani,1,Inyección,41,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,"0,0%",34.5,33.8,32.9,31.9,31.4,30.4,30,30,-10%,Región de Arica y Parinacota
Línea 1x66 kV Tap Quiani - Arica,1,Mixto,41,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,"0,0%",32.1,31.4,30.5,29.5,29,28,27.6,27.6,-10%,Región de Arica y Parinacota
Línea 1x66 kV Chapiquiña - Tap El Aguila,2,Mixto,28.8,18,18,18,18,18,18,18,18,"0,0%",28.5,28.5,28.4,28.4,28.3,28.3,28.3,28.3,0%,Región de Arica y Parinacota
Línea 1x66 kV Tap Off El Aguila - Arica,2,Mixto,30.4,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,"0,0%",27,26.6,26.1,25.6,25.3,24.8,24.6,24.6,-10%,Región de Arica y Parinacota
Línea 1x220 kV Collahuasi - Quebrada Blanca,3,Retiro,367,352.8,1,352.8,352.8,352.8,352.8,352.8,352.8,"0,0%",367,367,367,367,367,367,367,367,0%,Región de Tarapacá
Línea 2x220 kV Encuentro - Collahuasi,3,Retiro,193.2,24.4,1,24.4,24.4,24.4,24.4,24.4,24.4,"0,0%",168.2,168.2,168.2,168.2,168.2,168.2,168.2,168.2,0%,Región de Tarapacá
Línea 2x220 kV Lagunas - Collahuasi,3,Retiro,171.5,19.9,1,19.9,19.9,19.9,19.9,19.9,19.9,"0,0%",108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,0%,Región de Tarapacá
Transformador N°1 Pozo Almonte 110/66/13.8 KV,4,Retiro,30,0,0,0,0,0,0,0,0,"0,0%",5,5,5,5,5,5,5,5,0%,Región de Tarapacá
Línea 1x66 kV Tap Off Tamarugal - La Huayca II,6,Inyección,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,"0,0%",40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,0%,Región de Tarapacá
Línea 1x66 kV Tap Off Nueva Victoria - Llamara,7,Retiro,43.6,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,"0,0%",43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,0%,Región de Tarapacá
Línea 1x66 kV Tap Off Nueva Victoria - Sur Viejo,7,Retiro,43.4,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,"0,0%",43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,0%,Región de Tarapacá
Transformador N°1 Tap Off Nueva Victoria 220/66/23 kV,7,Retiro,50,29,29,29,29,29,29,29,29,"0,0%",50,50,50,50,50,50,50,50,0%,Región de Tarapacá
Línea 1x220 kV Santa Rita - San Simon,9,Inyección,251.5,163.4,163.4,163.4,163.4,163.4,163.4,163.4,163.4,"0,0%",251.5,251.5,251.5,251.5,251.5,251.5,251.5,251.5,0%,Región de Tarapacá
Línea 1x220 kV Lagunas - Granja Solar,10,Inyección,290,290,290,290,290,290,290,290,290,"0,0%",185,185,185,185,185,185,185,185,0%,Región de Tarapacá
Línea 1x220 kV Lagunas - Matilla,11,Inyección,289.9,289.9,289.9,289.9,289.9,289.9,289.9,289.9,289.9,"0,0%",139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,0%,Región de Tarapacá
Línea 2x220 kV Puerto Patache - Patillos,215,Retiro,229,204,1,204,204,204,204,204,204,"0,0%",229,229,229,229,229,229,229,229,0%,Región de Tarapacá
Línea 1x110 kV Pozo Almonte - Cerro Colorado,19,Retiro,137.9,102.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,"30,0%",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,0%,Región de Tarapacá
Línea 2x220 kV Lagunas - Puquios,229,Retiro,362.2,217.2,137.2,137.2,132.2,132.2,132.2,132.2,132.2,"-40,0%",362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,0%,Región de Tarapacá
Línea 1x220 kV Tiquima - Paguana,229,Retiro,397.2,282.2,202.2,202.2,197.2,197.2,197.2,197.2,197.2,"-30,0%",397.2,397.2,397.2,397.2,397.2,397.2,397.2,397.2,0%,Región de Tarapacá
Línea 1x220 kV Paguana - Puquios,229,Retiro,397.2,297.2,217.2,217.2,212.2,212.2,212.2,212.2,212.2,"-30,0%",397.2,397.2,397.2,397.2,397.2,397.2,397.2,397.2,0%,Región de Tarapacá
Línea 1x220 kV Lagunas - Challacollo,229,Retiro,398.4,253.4,173.4,173.4,168.4,168.4,168.4,168.4,168.4,"-30,0%",398.4,398.4,398.4,398.4,398.4,398.4,398.4,398.4,0%,Región de Tarapacá
Línea 1x220 kV Challacollo - Tiquima ,229,Retiro,400.1,270.1,190.1,190.1,185.1,185.1,185.1,185.1,185.1,"-30,0%",400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,0%,Región de Tarapacá
Línea 1x220 kV Tiquima - Paguana ,229,Retiro,362.9,247.9,167.9,167.9,162.9,162.9,162.9,162.9,162.9,"-30,0%",362.9,362.9,362.9,362.9,362.9,362.9,362.9,362.9,0%,Región de Tarapacá
Línea 1x220 kV Paguana - Puquios,229,Retiro,362.2,262.2,182.2,182.2,177.2,177.2,177.2,177.2,177.2,"-30,0%",362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,0%,Región de Tarapacá
Línea 1x220 kV Lagunas - Challacollo,229,Retiro,398.4,253.4,173.4,173.4,168.4,168.4,168.4,168.4,168.4,"-30,0%",398.4,398.4,398.4,398.4,398.4,398.4,398.4,398.4,0%,Región de Tarapacá
Línea 1x220 kV Geoglifos - Oyarvide ,240,Retiro,292.3,277.3,277.3,277.3,277.3,277.3,277.3,277.3,277.3,"0,0%",292.3,292.3,292.3,292.3,292.3,292.3,292.3,292.3,0%,Región de Tarapacá
Línea 1x220 kV Geoglifos - Oyarvide,240,Retiro,292.3,277.3,277.3,277.3,277.3,277.3,277.3,277.3,277.3,"0,0%",292.3,292.3,292.3,292.3,292.3,292.3,292.3,292.3,0%,Región de Tarapacá
Línea 1x200 kV O'Higgins - Farellon,22,Retiro,190.5,69.6,69.6,69.6,69.6,61.5,61.5,61.5,61.5,"-10,0%",0,0,0,0,0,0,0,0,0%,Región de Antofagasta
Línea 1x220 kV Domeyko - Escondida,22,Retiro,284.3,251,251,251,251,239,239,239,239,"0,0%",251.5,251.5,251.5,251.5,251.5,251.5,251.5,251.5,0%,Región de Antofagasta
Línea 1x220 kV Domeyko - Laguna Seca,22,Retiro,284.3,117.9,117.9,117.9,117.9,117.8,117.8,117.8,117.8,"0,0%",283.3,283.3,283.3,283.3,283.3,283.3,283.3,283.3,0%,Región de Antofagasta
Línea 1x220 kV Domeyko - OGP 1,22,Retiro,311.3,209.2,209.2,209.2,209.2,216.2,216.2,216.2,216.2,"0,0%",294.9,294.9,294.9,294.9,294.9,294.9,294.9,294.9,0%,Región de Antofagasta
Línea 1x220 kV Domeyko - Planta Oxidos,22,Retiro,256.2,178.1,178.1,178.1,178.1,178.1,178.1,178.1,178.1,"0,0%",255.7,255.7,255.7,255.7,255.7,255.7,255.7,255.7,0%,Región de Antofagasta
Línea 1x220 kV Domeyko - Sulfuros,22,Mixto,326.6,182.2,182.2,182.2,182.2,224.8,224.8,224.8,224.8,"20,0%",300.7,300.7,300.7,300.7,300.7,300.7,300.7,300.7,0%,Región de Antofagasta
Línea 1x220 kV Domeyko - SVS Domeyko,22,Retiro,326.6,190.3,190.3,190.3,190.3,191.7,191.7,191.7,191.7,"0,0%",325.7,325.7,325.7,325.7,325.7,325.7,325.7,325.7,0%,Región de Antofagasta
Línea 1x220 kV Farellon - Chimborazo,22,Retiro,190.5,109.8,109.8,109.8,109.8,102.1,102.1,102.1,102.1,"-10,0%",178.2,178.2,178.2,178.2,178.2,178.2,178.2,178.2,0%,Región de Antofagasta
Línea 1x220 kV Nueva Zaldívar - OGP1,22,Mixto,317,165,165,165,165,158,158,158,158,"0,0%",300.4,300.4,300.4,300.4,300.4,300.4,300.4,300.4,0%,Región de Antofagasta
Línea 1x220 kV Nueva Zaldívar - Sulfuros,22,Retiro,302.6,109.3,109.3,109.3,109.3,81.3,81.3,81.3,81.3,"-30,0%",246.4,246.4,246.4,246.4,246.4,246.4,246.4,246.4,0%,Región de Antofagasta
Línea 1x220 kV Nueva Zaldívar - Zaldívar,22,Mixto,301,91.3,91.3,91.3,91.3,77.5,77.5,77.5,77.5,"-20,0%",268,268,268,268,268,268,268,268,0%,Región de Antofagasta
Línea 1x220 kV O'Higgins - Domeyko,22,Retiro,309.5,235.5,235.5,235.5,235.5,227.7,227.7,227.7,227.7,"0,0%",212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,0%,Región de Antofagasta
Línea 1x220 kV O'Higgins - Puri,22,Retiro,190.5,98.7,98.7,98.7,98.7,91.6,91.6,91.6,91.6,"-10,0%",24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,0%,Región de Antofagasta
Línea 1x220 kV Pampa Tigre-Tigre,22,Inyección,309,309,309,309,309,309,309,309,309,"0,0%",207.2,207.2,207.2,207.2,207.2,207.2,207.2,207.2,0%,Región de Antofagasta
Línea 1x220 kV Parque Eolico Cerro Tigre-Tigre,22,Inyección,309,309,309,309,309,309,309,309,309,"0,0%",127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,0%,Región de Antofagasta
Línea 1x220 kV Puri - Domeyko,22,Retiro,190.5,136.1,136.1,136.1,136.1,129.3,129.3,129.3,129.3,"0,0%",154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5,0%,Región de Antofagasta
Línea 1x220 kV Zaldívar - Escondida,22,Retiro,328.5,173.8,173.8,173.8,173.8,159.8,159.8,159.8,159.8,"-10,0%",295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,0%,Región de Antofagasta
Transformador N°1 Sulfuros  220/69/13.8 kV,22,Retiro,138,121.4,121.4,121.4,121.4,98.6,98.6,98.6,98.6,"-20,0%",138,138,138,138,138,138,138,138,0%,Región de Antofagasta
Transformador N°1 Zaldívar  220/66/23kV,22,Retiro,67,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,"0,0%",67,67,67,67,67,67,67,67,0%,Región de Antofagasta
Transformador N°2 Sulfuros  220/69/13.8kV,22,Retiro,138,122,122,122,122,98.6,98.6,98.6,98.6,"-20,0%",138,138,138,138,138,138,138,138,0%,Región de Antofagasta
Transformador N°2 Zaldívar  220/66/23kV,22,Retiro,67,41.4,41.4,41.4,41.4,36.3,36.3,36.3,36.3,"-10,0%",67,67,67,67,67,67,67,67,0%,Región de Antofagasta
Transformador N°3 Sulfuros 220/69 kV,22,Retiro,62,46,46,46,46,22.9,22.9,22.9,22.9,"-50,0%",62,62,62,62,62,62,62,62,0%,Región de Antofagasta
Transformador N°4 OGP 1 220/66 kV,22,Retiro,80,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,"0,0%",80,80,80,80,80,80,80,80,0%,Región de Antofagasta
Transformador N°5 OGP 1 220/66 kV,22,Retiro,80,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,"0,0%",80,80,80,80,80,80,80,80,0%,Región de Antofagasta
Transformador N°7 Laguna Seca 220/69kV,22,Retiro,50,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,"0,0%",50,50,50,50,50,50,50,50,0%,Región de Antofagasta
Transformador N°8 Laguna Seca 220/69kV,22,Retiro,50,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,"0,0%",50,50,50,50,50,50,50,50,0%,Región de Antofagasta
Línea 1x220 kV Tap Off Oeste - Laberinto,22,Inyección,272.1,208.3,208.3,208.3,208.3,205.5,205.5,205.5,205.5,"0,0%",57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,0%,Región de Antofagasta
Línea 1x220 kV Chimborazo - Domeyko,22,Mixto,190.5,147,147,147,147,139.9,139.9,139.9,139.9,"0,0%",178.2,178.2,178.2,178.2,178.2,178.2,178.2,178.2,0%,Región de Antofagasta
Línea 1x220 kV Andes - Tap Off Oeste,22,Mixto,271.7,242.8,242.8,242.8,242.8,242.2,242.2,242.2,242.2,"0,0%",54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,0%,Región de Antofagasta
Línea 2x220 kV Nueva Zaldivar-Likanantai,22,Mixto,345.2,185.3,185.3,185.3,185.3,169.6,169.6,169.6,169.6,"-10,0%",315,315,315,315,315,315,315,315,0%,Región de Antofagasta
Línea 1x220 kV Andes - Likanantai,22,Mixto,345.2,334.3,334.3,334.3,334.3,333.8,333.8,333.8,333.8,"0,0%",60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,0%,Región de Antofagasta
Línea 1x220 kV Tigre-Farellon,22,Inyección,356.7,356.7,356.7,356.7,356.7,356.7,356.7,356.7,356.7,"0,0%",73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,0%,Región de Antofagasta
Línea 2x220 kV Tocopilla - Tap El Loa,13,Retiro,413.3,366.9,366.9,366.9,366.9,366.9,366.9,366.9,366.9,"0,0%",354,354,354,354,354,354,354,354,0%,Región de Antofagasta
Línea 2x110 kV Central Tocopilla - A,13,Retiro,49.2,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,"0,0%",47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,0%,Región de Antofagasta
Línea 2x110 kV Central Tocopilla - Central Diésel Tamaya,13,Retiro,133.2,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,"0,0%",75,75,75,75,75,75,75,75,0%,Región de Antofagasta
Autotransformador N°1 Central Tocopilla Booster 1 110/110 kV  ,13,Mixto,100,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,"0,0%",42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,0%,Región de Antofagasta
"Autotransformador N°1 Central Tocopilla 220/110/13,8 kV  ",13,Mixto,100,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,"0,0%",40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,0%,Región de Antofagasta
"Autotransformador N°2 Central Tocopilla 220/110/13,8 kV ",13,Mixto,100,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,"0,0%",40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,0%,Región de Antofagasta
Transformador N°2 Central Tocopilla Booster 2 110/110 kV Autoransformador,13,Mixto,100,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,"0,0%",42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,0%,Región de Antofagasta
Línea 1x110 kV Chacaya - GNL Mejillones,15,Retiro,73.9,69,69,69,69,69,69,69,69,"0,0%",73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,0%,Región de Antofagasta
Línea 1x110 kV Chacaya - Mejillones ,15,Retiro,73.8,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,"0,0%",0,0,0,0,0,0,0,0,0%,Región de Antofagasta
Línea 1x110 kV Mejillones - El Lince,15,Retiro,95.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,"0,0%",86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,0%,Región de Antofagasta
Línea 1x110 kV Tap Off Enlace Antucoya - Antucoya,15,Mixto,110.3,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,"0,0%",102.9,102.9,102.9,102.9,102.9,102.9,102.9,102.9,0%,Región de Antofagasta
Línea 1x110 kV Tap Off Enlace Antucoya - Guayaques,15,Retiro,49.5,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,"0,0%",49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0%,Región de Antofagasta
Línea 1x110 kV Tap Off Licancabur - Tap Off Enlace Antucoya,15,Retiro,49.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,"0,0%",41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,0%,Región de Antofagasta
Transformador N°1 Mejillones 220/110/23 KV,15,Mixto,100,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,"0,0%",89.9,89.9,89.9,89.9,89.9,89.9,89.9,89.9,0%,Región de Antofagasta
Transformador N°3 Chacaya 220/110/23 KV,15,Retiro,100,55,55,55,55,55,55,55,55,"0,0%",91,91,91,91,91,91,91,91,0%,Región de Antofagasta
Línea 1x110 kV Tap Off Sairecabur - Tap Off Licancabur,15,Retiro,49.5,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,"0,0%",41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,0%,Región de Antofagasta
Línea 1x220 kV Tap Off Enlace - Antucoya,15,Retiro,220.6,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,"0,0%",212.7,212.7,212.7,212.7,212.7,212.7,212.7,212.7,0%,Región de Antofagasta
Línea 1x110 kV Muelle - Tap Off Sairecabur,15,Retiro,49.5,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,"0,0%",41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,0%,Región de Antofagasta
Línea 1x220 kV Mejillones - O'Higgins,15,Inyección,398.6,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,"0,0%",303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,0%,Región de Antofagasta
Línea 1x220 kV Laberinto - Mantos Blancos,15,Inyección,278.2,238.9,238.9,238.9,238.9,238.9,238.9,238.9,238.9,"0,0%",233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,0%,Región de Antofagasta
Línea 1x220 kV El Cobre - Gaby,15,Retiro,272.2,201.4,201.4,201.4,201.4,201.4,201.4,201.4,201.4,"0,0%",221.1,221.1,221.1,221.1,221.1,221.1,221.1,221.1,0%,Región de Antofagasta
Línea 2x220 kV El Cobre - Esperanza,15,Retiro,166.9,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,"0,0%",107.5,107.5,107.5,107.5,107.5,107.5,107.5,107.5,0%,Región de Antofagasta
Línea 1x110 kV Chacaya -  Muelle,15,Retiro,49.5,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,"0,0%",40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,0%,Región de Antofagasta
Línea 1x220 kV Chacaya - Molycop,15,Retiro,185.6,170.9,170.9,170.9,170.9,170.9,170.9,170.9,170.9,"0,0%",185.4,185.4,185.4,185.4,185.4,185.4,185.4,185.4,0%,Región de Antofagasta
Línea 1x220 kV Chacaya - Mejillones,15,Retiro,248.8,186.5,186.5,186.5,186.5,186.5,186.5,186.5,186.5,"0,0%",160.2,160.2,160.2,160.2,160.2,160.2,160.2,160.2,0%,Región de Antofagasta
Línea 2x220 kV Chacaya - El Cobre,15,Retiro,463.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,"0,0%",298.6,311.3,311.3,311.3,311.3,311.3,311.3,311.3,0%,Región de Antofagasta
Línea 1x220 kV Chacaya - Crucero,15,Mixto,182.9,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,"0,0%",91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,0%,Región de Antofagasta
Línea 1x220 kV Chacaya - Capricornio,15,Retiro,246.9,157.7,157.7,157.7,157.7,157.7,157.7,157.7,157.7,"0,0%",110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,0%,Región de Antofagasta
Autotransformador Capricornio 220/110/13.8 kV,15,Inyección,80,42,42,42,42,42,42,42,42,"0,0%",44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,0%,Región de Antofagasta
Autotransformador Capricornio 220/110/13.8 kV ,15,Inyección,80,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,"0,0%",38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,0%,Región de Antofagasta
Línea 1x220 kV Capricornio - Mantos Blancos,15,Retiro,246.9,225.5,225.5,225.5,225.5,225.5,225.5,225.5,225.5,"0,0%",178.7,178.7,178.7,178.7,178.7,178.7,178.7,178.7,0%,Región de Antofagasta
Línea 1x220 kV Parinas – Central Parque Eolico Taltal *,12,Inyección,274.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,"0,0%",176.2,176.2,176.2,176.2,176.2,176.2,176.2,176.2,0%,Región de Antofagasta
Línea 1x220 kV Parinas – Central Lalackama *,12,Inyección,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,"0,0%",203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,0%,Región de Antofagasta
Línea 1x220 kV Cachiyuyal - Pampa Norte,12,Inyección,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,"0,0%",204.9,204.9,204.9,204.9,204.9,204.9,204.9,204.9,0%,Región de Antofagasta
Línea 1x220 kV Cachiyuyal - Diego de Almagro,12,Inyección,291.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,"0,0%",53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,0%,Región de Antofagasta
Línea 1x220 kV Francisco - Conejo,12,Inyección,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,"0,0%",61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,0%,Región de Antofagasta
Línea 1x220 kV Francisco - Diego De Almagro,12,Inyección,291.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,"0,0%",0,0,0,0,0,0,0,0,0%,Región de Antofagasta
Línea 1x220 kV Paposo - Francisco*,12,Inyección,291.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,"0,0%",219.6,219.6,219.6,219.6,219.6,219.6,219.6,219.6,0%,Región de Antofagasta
Línea 1x220 kV Paposo - Cachiyuyal*,12,Inyección,291.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,"0,0%",122.1,122.1,122.1,122.1,122.1,122.1,122.1,122.1,0%,Región de Antofagasta
Línea 1x110 kV Tap Off La Negra - Alto Norte,14,Mixto,109.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,"0,0%",109.4,109.4,109.4,109.4,109.4,109.4,109.4,109.4,0%,Región de Antofagasta
Línea 1x110 kV Tap El Negro - Alto Norte,14,Mixto,78.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,"0,0%",78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,0%,Región de Antofagasta
Línea 1x110 kV Capricornio - Tap El Negro,14,Mixto,78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,"0,0%",58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,0%,Región de Antofagasta
Línea 1x220 kV Laberinto - Lomas Bayas,16,Retiro,281.6,231.7,228.6,239.6,198,241.1,240.7,241.1,240.7,"0,0%",281.6,281.6,281.6,281.6,281.6,281.6,281.6,281.6,0%,Región de Antofagasta
Línea 1x220 kV Lomas Bayas - Fortuna,16,Retiro,281.6,256.6,255.1,260.6,239.8,261.3,261.1,261.3,261.1,"0,0%",281.6,281.6,281.6,281.6,281.6,281.6,281.6,281.6,0%,Región de Antofagasta
Línea 1x110 kV Esmeralda - Tap Off Uribe,17,Mixto,110.3,81.5,80.4,79.3,79.3,78.2,78.2,78.2,77,"-10,0%",57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,0%,Región de Antofagasta
Línea 1x110 kV Tap Off Uribe - Uribe,17,Mixto,110.3,81.5,80.4,79.3,79.3,78.2,78.2,78.2,77,"-10,0%",57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,0%,Región de Antofagasta
Línea 1x110 kV Acceso Norte - Carbonato,17,Retiro,64.8,49.5,48.4,48.4,48.4,48.4,48.4,48.4,48.4,"0,0%",22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,0%,Región de Antofagasta
Línea 1x110 kV Uribe - Uribe Solar,17,Inyección,75.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,"0,0%",64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,0%,Región de Antofagasta
Línea 1x110 kV Est. De Bombeo SG N°1 - Est. De Bombeo SG N°2,18,Retiro,73.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,"0,0%",73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,0%,Región de Antofagasta
Línea 1x220 kV Angamos - Estacion De Bombeo Sierra Gorda N°1,18,Retiro,299.9,168.9,168.9,168.9,168.9,168.9,168.9,168.9,168.9,"0,0%",299.9,299.9,299.9,299.9,299.9,299.9,299.9,299.9,0%,Región de Antofagasta
Línea 2x220 kV Angamos - Kapatur,18,Mixto,785,283.4,283.4,283.4,785,785,785,785,785,"180,0%",745.2,745.2,745.2,745.2,745.2,745.2,745.2,745.2,0%,Región de Antofagasta
Línea 2x220 kV Angamos - Kapatur,18,Mixto,785,283.4,283.4,283.4,785,785,785,785,785,"180,0%",745.2,745.2,745.2,745.2,745.2,745.2,745.2,745.2,0%,Región de Antofagasta
"Transformador N°1 Estación de Bombeo Sierra Gorda N°1 220/110/13,8 kV",18,Retiro,70,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,"0,0%",70,70,70,70,70,70,70,70,0%,Región de Antofagasta
Línea 1x110 kV Tap Off Barriles - Mantos De La Luna,20,Retiro,75.3,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,"0,0%",75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,0%,Región de Antofagasta
Línea 2x220 kV Norgener - Tap Off Barriles,20,Inyección,419.2,156.9,156.9,156.9,156.9,156.9,419.2,419.2,419.2,"170,0%",419.2,419.2,419.2,419.2,419.2,419.2,419.2,419.2,0%,Región de Antofagasta
Línea 2x220 kV Tap Off Barriles - Tap Off La Cruz,20,Mixto,419.2,156.9,156.9,156.9,156.9,156.9,419.2,419.2,419.2,"170,0%",394.2,394.2,394.2,394.2,394.2,394.2,394.2,394.2,0%,Región de Antofagasta
Línea 2x220 kV Tap Off La Cruz - Crucero,20,Mixto,419.2,90.3,90.3,90.3,90.3,90.3,352.6,352.6,352.6,"290,0%",394.2,394.2,394.2,394.2,394.2,394.2,394.2,394.2,0%,Región de Antofagasta
Línea 1x220 kV La Cruz Solar - Tap Off La Cruz Solar,20,Inyección,319.3,261.7,261.7,261.7,261.7,261.7,261.7,261.7,261.7,"0,0%",319.3,319.3,319.3,319.3,319.3,319.3,319.3,319.3,0%,Región de Antofagasta
Transformador Tap Off Barriles 220/110/13.2 KV,20,Retiro,30,19.1,19.1,19.1,19.1,19.1,11,11,11,"-40,0%",30,30,30,30,30,30,30,30,0%,Región de Antofagasta
Transformador Tap Off La Cruz 220/66/23 KV Nº1,20,Mixto,30,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,"0,0%",21,21,21,21,21,21,21,21,0%,Región de Antofagasta
