"x","y","ID_LIN_TRA","SUBTIPO","NOMBRE","CIRCUITO","TIPO","F_OPERACIO","LONG_KM","TRAMO","PROPIEDAD","TENSION_KV","RCA","SIST_ELECT","ESTADO","REGION","PROVINCIA","COMUNA","FUENTES_BAS","FECH_CREA","FECH_ACT","Shape_STLe","geometry"
"-27.089338","-70.802977","none","none","Nueva Línea 2x110 kV desde S/E Caldera a Línea 1x110 kV Cardones - Punta Padrones","none","Obra Nueva Tx Zonal","4/1/2025","2","CARDONES - PUNTA PADRONES","","110","none","SEN","EN CONSTRUCCIÓN","ATACAMA","Chaqaral-Copiapó-Huasco","Caldera","none","1/29/2024","1/29/2024","",""
"-27.078543","-70.830775","none","none","Nueva Línea 2x110 kV desde S/E Caldera a Línea 1x110 kV Cardones - Punta Padrones","none","Obra Nueva Tx Zonal","4/1/2025","2","CARDONES - PUNTA PADRONES","","110","none","SEN","EN CONSTRUCCIÓN","ATACAMA","Chaqaral-Copiapó-Huasco","Caldera","none","1/29/2024","1/29/2024","",""
"-34.108797","-70.781267","none","none","Nueva Línea 2x220 kV Candelaria - Nueva Tuniche y S/E Nueva Tuniche 220 kV","none","Obra Nueva Tx Zonal","1/1/2025","20.5","CANDELARIA - NUEVA TUNICHE","TRANSELEC S.A","220","none","SEN","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Graneros-Mostazal-Codegua","none","1/29/2024","1/29/2024","",""
"-34.03424","-70.61179","none","none","Nueva Línea 2x220 kV Candelaria - Nueva Tuniche y S/E Nueva Tuniche 220 kV","none","Obra Nueva Tx Zonal","1/1/2025","20.5","CANDELARIA - NUEVA TUNICHE","TRANSELEC S.A","220","none","SEN","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Graneros-Mostazal-Codegua","none","1/29/2024","1/29/2024","",""
"-30.546382","-71.493438","none","none","Nueva Línea 2x220 kV Don Goyo - La Ruca","none","Obra Nueva Tx Zonal","6/1/2026","38.3","DON GOYO - LA RUCA","GOYO TRANSMISORA DE ENERGIA S.A.","220","none","SEN","EN CONSTRUCCIÓN","COQUIMBO","Elquí-Limarí-Choapa","Ovalle-Coquimbo","none","1/29/2024","1/29/2024","",""
"-30.476825","-71.155174","none","none","Nueva Línea 2x220 kV Don Goyo - La Ruca","none","Obra Nueva Tx Zonal","6/1/2026","38.3","DON GOYO - LA RUCA","GOYO TRANSMISORA DE ENERGIA S.A.","220","none","SEN","EN CONSTRUCCIÓN","COQUIMBO","Elquí-Limarí-Choapa","Ovalle-Coquimbo","none","1/29/2024","1/29/2024","",""
"-35.139765","-71.368341","none","none","Nueva Línea 2x220 kV Itahue - Mataquito","none","Obra Nueva Tx Zonal","8/31/2023","48","ITAHUE - MATAQUITO","CELEO REDES S.A","220","none","SEN","EN CONSTRUCCIÓN","MAULE","Curicó-Curicó","Molina-Curicó","none","1/29/2024","1/29/2024","",""
"-34.985822315491","-71.78685764622","none","none","Nueva Línea 2x220 kV Itahue - Mataquito","none","Obra Nueva Tx Zonal","8/31/2023","48","ITAHUE - MATAQUITO","CELEO REDES S.A","220","none","SEN","EN CONSTRUCCIÓN","MAULE","Curicó-Curicó","Molina-Curicó","none","1/29/2024","1/29/2024","",""
"-20.814227","-69.692462","none","none","Nueva Línea 2x220 kV Lagunas - Nueva Pozo Almonte, Tendido primer circuito","none","Obra Nueva Tx Nacional","1/1/2025","62.7","LAGUNAS - NUEVO POZO ALMONTE","TRANSELEC S.A","220","none","SEN","EN CONSTRUCCIÓN","TARAPACÁ","Iquique-Tamarugal","Pozo Almonte","none","1/29/2024","1/29/2024","",""
"-20.31434","-69.74725","none","none","Nueva Línea 2x220 kV Lagunas - Nueva Pozo Almonte, Tendido primer circuito","none","Obra Nueva Tx Nacional","1/1/2025","62.7","LAGUNAS - NUEVO POZO ALMONTE","TRANSELEC S.A","220","none","SEN","EN CONSTRUCCIÓN","TARAPACÁ","Iquique-Tamarugal","Pozo Almonte","none","1/29/2024","1/29/2024","",""
"-35.000171135583","-71.799118760302","none","none","Nueva Línea 2x220 kV Mataquito – Nueva Nirivilo – Nueva Cauquenes – Dichato - Hualqui","none","Obra Nueva Tx Zonal","8/31/2024","250","MATAQUITO - NUEVA NIRIVILO - NUEVA CAUQUENES - DICHATO - HUALQUI","CELEO REDES S.A","220","none","SEN","EN CONSTRUCCIÓN","MAULE","Curicó-Concepción","Hualañé-Hualqui","none","1/29/2024","1/29/2024","",""
"-37.004450814833","-72.919232877168","none","none","Nueva Línea 2x220 kV Mataquito – Nueva Nirivilo – Nueva Cauquenes – Dichato - Hualqui","none","Obra Nueva Tx Zonal","8/31/2024","250","MATAQUITO - NUEVA NIRIVILO - NUEVA CAUQUENES - DICHATO - HUALQUI","CELEO REDES S.A","220","none","SEN","EN CONSTRUCCIÓN","MAULE","Curicó-Concepción","Hualañé-Hualqui","none","1/29/2024","1/29/2024","",""
"-33.08738","-71.627066","none","none","Nueva Línea 2x220 kV Nueva Alto Melipilla - Nueva Casablanca - La Pólvora - Agua Santa","none","Obra Nueva Tx Zonal","8/31/2024","108.84","NUEVA ALTO MELIPILLA - NUEVA CASABLANCA - LA POLVORA - AGUA SANTA","Casablanca Transmisora de Energía S.A.","220","none","SEN","EN CONSTRUCCIÓN","INTERREGIONAL","","Viña del Mar-San Antonio-Casablanca-Valparaíso-Cartagena-Melipilla","none","1/29/2024","1/29/2024","",""
"-33.31484","-71.42512","none","none","Nueva Línea 2x220 kV Nueva Alto Melipilla - Nueva Casablanca - La Pólvora - Agua Santa","none","Obra Nueva Tx Zonal","8/31/2024","108.84","NUEVA ALTO MELIPILLA - NUEVA CASABLANCA - LA POLVORA - AGUA SANTA","Casablanca Transmisora de Energía S.A.","220","none","SEN","EN CONSTRUCCIÓN","INTERREGIONAL","","Viña del Mar-San Antonio-Casablanca-Valparaíso-Cartagena-Melipilla","none","1/29/2024","1/29/2024","",""
