,OBJECTID,ID_GE_TERM,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
167,2110,284,PICOLTUE,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/26/2019 8:00 p. m.,212660,5823653,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.25861731899994 -37.68934700208691),-37.68934700208691,-72.25861731899994
168,2111,286,CALFUCO,GENERADORA AZUL SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/3/2019 8:00 p. m.,159859,5395084,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,6/29/2019 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07642289199998 -41.523627411063465),-41.523627411063465,-73.07642289199998
169,2112,287,RIO AZUL,GENERADORA LA CALERA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/29/2019 8:00 p. m.,159853,5395063,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,6/29/2019 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07650648599997 -41.52381354006348),-41.52381354006348,-73.07650648599997
170,2113,288,PMGD TER CIRUELILLO,IMELSA ENERGIA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.955,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/14/2019 9:00 p. m.,111000,5359637,19 SUR,WGS 1984,LOS LAGOS,CHILOE,ANCUD,COMISION NACIONAL DE ENERGIA,6/29/2019 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.68327994499998 -41.819625226062335),-41.819625226062335,-73.68327994499998
171,2114,289,CALAFATE,GENERADORA CALAFATE SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/26/2019 9:00 p. m.,173270,5405595,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,12/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.91037542199996 -41.43475222006383),-41.43475222006383,-72.91037542199996
172,2115,290,ALERCE,GENERADORA LA CALERA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/19/2019 9:00 p. m.,173270,5405595,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,12/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.91037542199996 -41.43475222006383),-41.43475222006383,-72.91037542199996
173,2116,293,PINARES,ELECTRICA PINARES LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,8.6,8,279/2020,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/9/2021 9:00 p. m.,193300,6078350,19 SUR,WGS 1984,MAULE,TALCA,CONSTITUCION,COMISION NACIONAL DE ENERGIA,12/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.37653276299994 -35.39106896010881),-35.39106896010881,-72.37653276299994
174,2117,296,AGGREKO 01,AGGREKO CHILE LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,3, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/27/2022 9:00 p. m.,341224,6310313,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.70603846799997 -33.33465441613328),-33.33465441613328,-70.70603846799997
175,2118,297,DON PEDRO,EBCO ENERGIA S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.88,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/18/2021 8:00 p. m.,130586,5911059,19 SUR,WGS 1984,BIOBIO,CONCEPCION,SAN PEDRO DE LA PAZ,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.14399751799994 -36.874195705094),-36.874195705094,-73.14399751799994
176,2119,298,LAS QUEMAS,GENERSUR SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,9.0,9,123/2020,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/4/2021 8:00 p. m.,153559,5496536,19 SUR,WGS 1984,LOS LAGOS,OSORNO,OSORNO,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.09470093199997 -40.609405438067526),-40.609405438067526,-73.09470093199997
