Fecha y Hora;Nombre Central;Generación Real (MWh)
20-07-2023 5:00;PFV ANDES SOLAR II-B;0
20-07-2023 6:00;PFV ANDES SOLAR II-B;0
20-07-2023 7:00;PFV ANDES SOLAR II-B;0
20-07-2023 8:00;PFV ANDES SOLAR II-B;3
20-07-2023 9:00;PFV ANDES SOLAR II-B;39
20-07-2023 10:00;PFV ANDES SOLAR II-B;77
20-07-2023 11:00;PFV ANDES SOLAR II-B;85
20-07-2023 12:00;PFV ANDES SOLAR II-B;85
20-07-2023 13:00;PFV ANDES SOLAR II-B;85
20-07-2023 14:00;PFV ANDES SOLAR II-B;41
20-07-2023 15:00;PFV ANDES SOLAR II-B;19
20-07-2023 16:00;PFV ANDES SOLAR II-B;23
20-07-2023 17:00;PFV ANDES SOLAR II-B;5
20-07-2023 18:00;PFV ANDES SOLAR II-B;7
20-07-2023 19:00;PFV ANDES SOLAR II-B;98
20-07-2023 20:00;PFV ANDES SOLAR II-B;102
20-07-2023 21:00;PFV ANDES SOLAR II-B;102
20-07-2023 22:00;PFV ANDES SOLAR II-B;50
20-07-2023 23:00;PFV ANDES SOLAR II-B;0
20-07-2023 23:59;PFV ANDES SOLAR II-B;0
21-07-2023 1:00;PFV ANDES SOLAR II-B;0
21-07-2023 2:00;PFV ANDES SOLAR II-B;0
21-07-2023 3:00;PFV ANDES SOLAR II-B;0
21-07-2023 4:00;PFV ANDES SOLAR II-B;0
21-07-2023 5:00;PFV ANDES SOLAR II-B;0
21-07-2023 6:00;PFV ANDES SOLAR II-B;0
21-07-2023 7:00;PFV ANDES SOLAR II-B;0
21-07-2023 8:00;PFV ANDES SOLAR II-B;2
21-07-2023 9:00;PFV ANDES SOLAR II-B;11
21-07-2023 10:00;PFV ANDES SOLAR II-B;45
21-07-2023 11:00;PFV ANDES SOLAR II-B;45
21-07-2023 12:00;PFV ANDES SOLAR II-B;49
21-07-2023 13:00;PFV ANDES SOLAR II-B;50
21-07-2023 14:00;PFV ANDES SOLAR II-B;50
21-07-2023 15:00;PFV ANDES SOLAR II-B;50
21-07-2023 16:00;PFV ANDES SOLAR II-B;50
21-07-2023 17:00;PFV ANDES SOLAR II-B;13
21-07-2023 18:00;PFV ANDES SOLAR II-B;7
21-07-2023 19:00;PFV ANDES SOLAR II-B;96
21-07-2023 20:00;PFV ANDES SOLAR II-B;102
21-07-2023 21:00;PFV ANDES SOLAR II-B;102
21-07-2023 22:00;PFV ANDES SOLAR II-B;102
21-07-2023 23:00;PFV ANDES SOLAR II-B;44
21-07-2023 23:59;PFV ANDES SOLAR II-B;0
22-07-2023 1:00;PFV ANDES SOLAR II-B;0
22-07-2023 2:00;PFV ANDES SOLAR II-B;0
22-07-2023 3:00;PFV ANDES SOLAR II-B;0
22-07-2023 4:00;PFV ANDES SOLAR II-B;0
22-07-2023 5:00;PFV ANDES SOLAR II-B;0
22-07-2023 6:00;PFV ANDES SOLAR II-B;0
22-07-2023 7:00;PFV ANDES SOLAR II-B;0
22-07-2023 8:00;PFV ANDES SOLAR II-B;3
22-07-2023 9:00;PFV ANDES SOLAR II-B;33
22-07-2023 10:00;PFV ANDES SOLAR II-B;26
22-07-2023 11:00;PFV ANDES SOLAR II-B;78
22-07-2023 12:00;PFV ANDES SOLAR II-B;80
22-07-2023 13:00;PFV ANDES SOLAR II-B;85
22-07-2023 14:00;PFV ANDES SOLAR II-B;90
22-07-2023 15:00;PFV ANDES SOLAR II-B;51
22-07-2023 16:00;PFV ANDES SOLAR II-B;10
22-07-2023 17:00;PFV ANDES SOLAR II-B;10
22-07-2023 18:00;PFV ANDES SOLAR II-B;4
22-07-2023 19:00;PFV ANDES SOLAR II-B;92
22-07-2023 20:00;PFV ANDES SOLAR II-B;102
22-07-2023 21:00;PFV ANDES SOLAR II-B;102
22-07-2023 22:00;PFV ANDES SOLAR II-B;92
22-07-2023 23:00;PFV ANDES SOLAR II-B;4
22-07-2023 23:59;PFV ANDES SOLAR II-B;0
23-07-2023 1:00;PFV ANDES SOLAR II-B;0
23-07-2023 2:00;PFV ANDES SOLAR II-B;0
23-07-2023 3:00;PFV ANDES SOLAR II-B;0
23-07-2023 4:00;PFV ANDES SOLAR II-B;0
23-07-2023 5:00;PFV ANDES SOLAR II-B;0
23-07-2023 6:00;PFV ANDES SOLAR II-B;0
23-07-2023 7:00;PFV ANDES SOLAR II-B;0
23-07-2023 8:00;PFV ANDES SOLAR II-B;2
23-07-2023 9:00;PFV ANDES SOLAR II-B;10
23-07-2023 10:00;PFV ANDES SOLAR II-B;10
23-07-2023 11:00;PFV ANDES SOLAR II-B;10
23-07-2023 12:00;PFV ANDES SOLAR II-B;10
23-07-2023 13:00;PFV ANDES SOLAR II-B;10
23-07-2023 14:00;PFV ANDES SOLAR II-B;10
23-07-2023 15:00;PFV ANDES SOLAR II-B;10
23-07-2023 16:00;PFV ANDES SOLAR II-B;10
23-07-2023 17:00;PFV ANDES SOLAR II-B;10
23-07-2023 18:00;PFV ANDES SOLAR II-B;10
23-07-2023 19:00;PFV ANDES SOLAR II-B;81
23-07-2023 20:00;PFV ANDES SOLAR II-B;102
23-07-2023 21:00;PFV ANDES SOLAR II-B;102
23-07-2023 22:00;PFV ANDES SOLAR II-B;102
23-07-2023 23:00;PFV ANDES SOLAR II-B;54
23-07-2023 23:59;PFV ANDES SOLAR II-B;0
24-07-2023 1:00;PFV ANDES SOLAR II-B;0
24-07-2023 2:00;PFV ANDES SOLAR II-B;0
24-07-2023 3:00;PFV ANDES SOLAR II-B;0
